movie_title,MDS_1,MDS_2
My Best Friend's Girl ,-3.743204604,2.858896949
Arlington Road ,-2.148635983,-0.50119469
Sphere ,-3.445770187,1.852256705
The Lovely Bones ,-0.044314026,-4.602812467
Prisoners ,10.47702294,-6.97566448
Lara Croft: Tomb Raider ,-3.03970019,-2.27220046
V for Vendetta ,16.5153828,-7.106523399
The Revenant ,19.29069078,-7.670702367
Over the Hill to the Poorhouse ,11.39496463,5.963526154
Monkeybone ,-1.549153501,4.836178751
Last Action Hero ,-2.260963812,2.266334891
Unforgiven ,17.75144562,0.314459086
Locker 13 ,0.645313093,5.308949083
Jerry Maguire ,0.002650082,-0.678382649
The Curse of the Were-Rabbit ,-2.253845984,-2.105815099
Secondhand Lions ,-2.002600297,0.834853223
Princess Kaiulani ,-2.566885165,4.199175828
Austin Powers: International Man of Mystery ,-2.727529497,0.119273402
High School Musical 3: Senior Year ,-4.317841767,2.310634278
Steamboy ,-3.472543813,1.927308762
Die Hard with a Vengeance ,0.737850961,-1.416153616
Guardians of the Galaxy ,23.78822224,-7.394301679
Blade ,-1.466474582,-1.795982609
Invictus ,12.5946373,-1.776421611
My Bloody Valentine ,-2.476895301,-2.424897241
Mean Streets ,17.85156991,2.200072834
Deep Impact ,-3.230431035,-0.709803339
The Promise ,-3.356338548,3.558975514
The Big Tease ,-1.875528937,4.252266426
The Basket ,-1.356679346,4.127561507
The Cold Light of Day ,-0.879604018,3.407908146
Fruitvale Station ,-0.32768577,-4.492043468
A Bug's Life ,-1.099005871,-1.010693085
Fatal Attraction ,-0.789763322,1.164998461
Out of Africa ,-4.612301571,-0.884868947
Magic Mike ,3.659686991,-5.881712495
The Social Network ,24.42455195,-3.724515073
What Lies Beneath ,-1.929116759,-2.325979086
The Players Club ,-1.325638812,4.772047499
Planet 51 ,-4.205678287,0.321969341
The Long Kiss Goodnight ,-2.408963097,1.750093517
Bobby ,-3.369502631,-1.117942258
Seven Years in Tibet ,-1.542916304,1.657087088
The Departed ,26.29153976,-2.792651383
The Machinist ,-0.569388529,-2.8430288
Sex Drive ,-3.868980717,1.433595878
Amadeus ,4.822382865,-0.619104245
Promised Land ,-3.073693136,-2.285119743
Payback ,-2.470907247,-0.421927737
